Table Name: vehicleObservation$RecordAll$domain0, Topic Name: vehicleObservation
Timestamp,vehicle_id,header.create_stamp.nanoseconds,header.valid_after_stamp.nanoseconds,pose.x,pose.y,pose.yaw
1551295597172974000,3,1551295597140000000,1551295597140000000,0.8880313724,2.1812163102,-1.8621012300
1551295597188986000,3,1551295597160000000,1551295597160000000,0.8895555087,2.2047960885,-1.9175870338
1551295597212934000,3,1551295597180000000,1551295597180000000,0.8913826238,2.2245612521,-1.9679449449
1551295597228861000,3,1551295597200000000,1551295597200000000,0.8951759455,2.2450373019,-2.0065602136
1551295597249567000,3,1551295597220000000,1551295597220000000,0.8992449213,2.2674909023,-2.0432503418
1551295597272936000,3,1551295597240000000,1551295597240000000,0.9053080816,2.2884899196,-2.0924368754
1551295597298830000,3,1551295597260000000,1551295597260000000,0.9122653296,2.3081558851,-2.1295136344
1551295597307076000,3,1551295597280000000,1551295597280000000,0.9204696104,2.3277317090,-2.1634221114
1551295597326938000,3,1551295597300000000,1551295597300000000,0.9280442256,2.3488825505,-2.2082586784
1551295597347719000,3,1551295597320000000,1551295597320000000,0.9361144173,2.3668293578,-2.2448696232
1551295597367865000,3,1551295597340000000,1551295597340000000,0.9469784175,2.3879330995,-2.2866299855
1551295597387014999,3,1551295597360000000,1551295597360000000,0.9568614513,2.4072545089,-2.3286521161
1551295597406527999,3,1551295597380000000,1551295597380000000,0.9677671316,2.4256450720,-2.3872302087
1551295597432125999,3,1551295597400000000,1551295597400000000,0.9803713499,2.4445881791,-2.4367152750
1551295597459803999,3,1551295597420000000,1551295597420000000,0.9934738716,2.4611645615,-2.4776228086
1551295597467089999,3,1551295597440000000,1551295597440000000,1.0076182787,2.4778378544,-2.5193110691
1551295597485779999,3,1551295597460000000,1551295597460000000,1.0230686646,2.4938553203,-2.5358995689
1551295597505491999,3,1551295597480000000,1551295597480000000,1.0390350072,2.5084967803,-2.5611057415
1551295597534693999,3,1551295597500000000,1551295597500000000,1.0563216760,2.5241836514,-2.6019352164
1551295597544137999,3,1551295597520000000,1551295597520000000,1.0739753371,2.5357287524,-2.6103899357
1551295597564248999,3,1551295597540000000,1551295597540000000,1.0926049046,2.5493196449,-2.6208689431
1551295597585689999,3,1551295597560000000,1551295597560000000,1.1106120423,2.5623414587,-2.6228082191
1551295597616719999,3,1551295597580000000,1551295597580000000,1.1294475424,2.5734923736,-2.6262253991
1551295597625965999,3,1551295597600000000,1551295597600000000,1.1490835467,2.5842871139,-2.6110198493
1551295597643290999,3,1551295597620000000,1551295597620000000,1.1677529956,2.5957087427,-2.6183090356
1551295597662804999,3,1551295597640000000,1551295597640000000,1.1876938027,2.6065742875,-2.6183013024
1551295597690143999,3,1551295597660000000,1551295597660000000,1.2069610913,2.6169594285,-2.6109984115
1551295597702663999,3,1551295597680000000,1551295597680000000,1.2259255181,2.6278604545,-2.6109901802
1551295597722605999,3,1551295597680000000,1551295597680000000,1.2451848537,2.6398957319,-2.6274903707
1551295597744369999,3,1551295597700000000,1551295597700000000,1.2649018713,2.6515579745,-2.6109810272
1551295597767458998,3,1551295597720000000,1551295597720000000,1.2838602164,2.6624554376,-2.6109727956
1551295597783981999,3,1551295597740000000,1551295597740000000,1.3042505131,2.6746075395,-2.6018602734
1551295597801998998,3,1551295597760000000,1551295597760000000,1.3218517867,2.6861830467,-2.6109636423
1551295597822127998,3,1551295597780000000,1551295597780000000,1.3425504260,2.6978145199,-2.5944735845
1551295597846908998,3,1551295597800000000,1551295597800000000,1.3605282660,2.7087458222,-2.5944781606
1551295597864860998,3,1551295597820000000,1551295597820000000,1.3810005106,2.7212935938,-2.6053481959
1551295597879614998,3,1551295597840000000,1551295597840000000,1.3995682516,2.7322720823,-2.5922820186
1551295597903601998,3,1551295597860000000,1551295597860000000,1.4191586191,2.7457277620,-2.6018218747
1551295597927860998,3,1551295597880000000,1551295597880000000,1.4393564488,2.7566469370,-2.5745348373
1551295597938836998,3,1551295597900000000,1551295597900000000,1.4588521269,2.7681553879,-2.5840376726
1551295597959398998,3,1551295597920000000,1551295597920000000,1.4776287157,2.7813638692,-2.5896133414
1551295597983077998,3,1551295597940000000,1551295597940000000,1.4968285584,2.7938835358,-2.5853329932
1551295597999912998,3,1551295597960000000,1551295597960000000,1.5148702354,2.8067380034,-2.5853304880
1551295598020398000,3,1551295597980000000,1551295597980000000,1.5351551351,2.8190320450,-2.5783730548
1551295598038734000,3,1551295598000000000,1551295598000000000,1.5543684055,2.8315231572,-2.5737120746
1551295598066142000,3,1551295598020000000,1551295598020000000,1.5735924909,2.8439957944,-2.5687910391
1551295598080358000,3,1551295598040000000,1551295598040000000,1.5923779355,2.8571471101,-2.5737249598
1551295598097701000,3,1551295598060000000,1551295598060000000,1.6130384410,2.8698845459,-2.5591867339
1551295598120284000,3,1551295598080000000,1551295598080000000,1.6322280179,2.8830600572,-2.5356049334
1551295598138502000,3,1551295598100000000,1551295598100000000,1.6508557123,2.8964034043,-2.5435567632
1551295598167759000,3,1551295598120000000,1551295598120000000,1.6708291774,2.9091584944,-2.5433871264
1551295598178899000,3,1551295598140000000,1551295598140000000,1.6888116198,2.9220569432,-2.5442382084
1551295598197978000,3,1551295598160000000,1551295598160000000,1.7081564833,2.9353635442,-2.5374289268
1551295598217876000,3,1551295598180000000,1551295598180000000,1.7287188504,2.9503245412,-2.5270544162
1551295598239116000,3,1551295598200000000,1551295598200000000,1.7464603876,2.9628888011,-2.5521675561
1551295598255894000,3,1551295598220000000,1551295598220000000,1.7666882965,2.9759178629,-2.5270377987
1551295598282727000,3,1551295598240000000,1551295598240000000,1.7849263646,2.9894496810,-2.5230565556
1551295598295863000,3,1551295598260000000,1551295598260000000,1.8033550554,3.0040464241,-2.5355498534
1551295598322622000,3,1551295598280000000,1551295598280000000,1.8237178896,3.0172252387,-2.5275124537
1551295598334864999,3,1551295598300000000,1551295598300000000,1.8421695974,3.0304428242,-2.5189028739
1551295598354657000,3,1551295598320000000,1551295598320000000,1.8612316660,3.0451423325,-2.5186232061
1551295598376359999,3,1551295598340000000,1551295598340000000,1.8796986609,3.0593570247,-2.5105001495
1551295598410611999,3,1551295598360000000,1551295598360000000,1.8976961699,3.0721795041,-2.5104926215
1551295598413645999,3,1551295598380000000,1551295598380000000,1.9155776884,3.0869335876,-2.4953216242
1551295598433425999,3,1551295598400000000,1551295598400000000,1.9346453519,3.1005912430,-2.4939707476
1551295598454084999,3,1551295598420000000,1551295598420000000,1.9528435771,3.1161789480,-2.4920861329
1551295598479598999,3,1551295598440000000,1551295598440000000,1.9705520349,3.1291502985,-2.4790536463
1551295598494029999,3,1551295598460000000,1551295598460000000,1.9880488938,3.1425984514,-2.4888152272
1551295598513605999,3,1551295598480000000,1551295598480000000,2.0066352087,3.1576708386,-2.4790680998
1551295598536246999,3,1551295598500000000,1551295598500000000,2.0230556214,3.1710891918,-2.4723607307
1551295598553874999,3,1551295598520000000,1551295598520000000,2.0424108449,3.1863841933,-2.4666267071
1551295598572124999,3,1551295598540000000,1551295598540000000,2.0579216113,3.1999345521,-2.4769959195
1551295598591742999,3,1551295598560000000,1551295598560000000,2.0750820361,3.2146050374,-2.4754337934
1551295598611863999,3,1551295598580000000,1551295598580000000,2.0918967389,3.2265087752,-2.4601892593
1551295598638049999,3,1551295598600000000,1551295598600000000,2.1094976436,3.2417925330,-2.4688582476
1551295598654291999,3,1551295598620000000,1551295598620000000,2.1270287284,3.2559907863,-2.4599787811
1551295598670314999,3,1551295598640000000,1551295598640000000,2.1426017033,3.2694334283,-2.4688497818
1551295598689919999,3,1551295598660000000,1551295598660000000,2.1604895855,3.2831861128,-2.4530102225
1551295598710721999,3,1551295598680000000,1551295598680000000,2.1756234174,3.2951414209,-2.4688329886
1551295598732579999,3,1551295598700000000,1551295598700000000,2.1920737887,3.3083599937,-2.4433740457
1551295598748832999,3,1551295598720000000,1551295598720000000,2.2077077193,3.3237097432,-2.4521780969
1551295598770211998,3,1551295598740000000,1551295598740000000,2.2241672268,3.3360481892,-2.4437810274
1551295598795243998,3,1551295598760000000,1551295598760000000,2.2387765799,3.3494810900,-2.4521633522
1551295598808467999,3,1551295598780000000,1551295598780000000,2.2537003652,3.3624188983,-2.4368107504
