Timestamp,vehicle_id,stamp.nanoseconds,data._d,data.direct_control.motor_throttle,data.direct_control.steering_servo,data.speed_curvature.speed,data.speed_curvature.curvature,data.trajectory_segment.start_point.t.nanoseconds,data.trajectory_segment.start_point.px,data.trajectory_segment.start_point.py,data.trajectory_segment.start_point.vx,data.trajectory_segment.start_point.vy,data.trajectory_segment.end_point.t.nanoseconds,data.trajectory_segment.end_point.px,data.trajectory_segment.end_point.py,data.trajectory_segment.end_point.vx,data.trajectory_segment.end_point.vy
1539614137020427000,0,0,0,0.1753234863,-0.6380615234,0,0,0,0,0,0,0,0,0,0,0,0
1539614137040391000,0,0,0,0.1753234863,-0.6475830078,0,0,0,0,0,0,0,0,0,0,0,0
1539614137060364000,0,0,0,0.1753234863,-0.6475830078,0,0,0,0,0,0,0,0,0,0,0,0
1539614137080178000,0,0,0,0.1753234863,-0.6475830078,0,0,0,0,0,0,0,0,0,0,0,0
1539614137100266000,0,0,0,0.1753234863,-0.6475830078,0,0,0,0,0,0,0,0,0,0,0,0
1539614137120167000,0,0,0,0.1753234863,-0.6475830078,0,0,0,0,0,0,0,0,0,0,0,0
1539614137140148000,0,0,0,0.1753234863,-0.6475830078,0,0,0,0,0,0,0,0,0,0,0,0
1539614137160448000,0,0,0,0.1753234863,-0.6475830078,0,0,0,0,0,0,0,0,0,0,0,0
1539614137180166000,0,0,0,0.1753234863,-0.6571044922,0,0,0,0,0,0,0,0,0,0,0,0
1539614137200388000,0,0,0,0.1753234863,-0.6571044922,0,0,0,0,0,0,0,0,0,0,0,0
1539614137220169000,0,0,0,0.1753234863,-0.6571044922,0,0,0,0,0,0,0,0,0,0,0,0
1539614137240465000,0,0,0,0.1753234863,-0.6571044922,0,0,0,0,0,0,0,0,0,0,0,0
1539614137260408000,0,0,0,0.1753234863,-0.6571044922,0,0,0,0,0,0,0,0,0,0,0,0
1539614137280188000,0,0,0,0.1753234863,-0.6571044922,0,0,0,0,0,0,0,0,0,0,0,0
